Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item,Frequency,Pronunciation,Letters,Degree,Clustering Coefficient,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Mean Shortest Path
worm,4,4110,10.12,"w""3`m",3,1,{worm},"{w""3`m}",1,NN|VB,638.64,0.97,,worm,10.12,W AH R M,4,5,0.2,4.015429710657511e-06,0.013236886978841952,-1.1424277035972381e-17,
wrap,4,5973,17.8,"r""ap",3,1,{wrap},"{r""ap}",1,VB|NN,555.79,1,,wrap,17.8,R AE P,4,2,1.0,0.0,0.010176919862665263,3.683310948455015e-18,
writ,4,1279,1.73,"r""It",3,1,{writ},"{r""It}",1,NN,793.94,0.53,,writ,1.73,R IH T,4,3,0.3333333333333333,2.425056805744067e-05,0.012911359263651206,-6.173706419993534e-18,
yank,4,1559,4.71,"j""aNk",4,1,{yank},"{j""aNk}",1,NN|VB,758.77,0.94,,yank,4.71,Y AE NG K,4,4,1.0,0.0,0.012436008733099888,-2.695049803236106e-18,
yard,4,7418,25.06,"j""Ard",4,1,{yard},"{j""Ard}",1,NN,623.47,1,,yard,25.06,Y AA R D,4,6,0.6666666666666666,4.791640056023607e-06,0.013797451947761224,-3.204169839952616e-17,
yarn,4,3131,1.59,"j""Arn",4,1,{yarn},"{j""Arn}",1,NN,642.13,0.94,,yarn,1.59,Y AA R N,4,6,0.4,1.1508918191433019e-05,0.013102856891064175,-1.5035546725222675e-17,
yawl,4,30,0.24,"j""Ol",3,1,{yawl},"{j""Ol}",1,NN,815.44,0.26,,yawl,0.24,Y AO L,4,2,0.0,3.2102125976625242e-06,0.01133307419762452,-3.4152399471674767e-19,
yawn,4,1333,1.0,"j""On",3,1,{yawn},"{j""On}",1,NN|VB,701.26,0.94,,yawn,1.0,Y AO N,4,6,0.4,8.526293562883298e-06,0.011586031843649683,1.950882117885769e-18,
yeah,4,50018,2985.53,"j""E@",3,1,{yeah},"{j""E@}",1,minor|NN,672.7,0.97,,yeah,2985.53,Y AE,4,1,0.0,0.0,0.011012493410061367,-6.333068133655131e-18,
year,4,246566,277.92,"j""Ir",3,1,{year},"{j""Ir}",1,NN,592.17,0.91,,year,277.92,Y IH R,4,12,0.8333333333333334,8.101349353383437e-06,0.013000881918797507,-3.298364165727631e-17,
yell,4,3322,18.41,"j""El",3,1,{yell},"{j""El}",1,NN|VB,672.62,0.91,,yell,18.41,Y EH L,4,9,0.7777777777777778,6.76550344762059e-06,0.01364986369338018,-1.0481117112069581e-17,
yelp,4,212,0.14,"j""Elp",4,1,{yelp},"{j""Elp}",1,NN|VB,733.36,0.76,,yelp,0.14,Y EH L P,4,3,0.3333333333333333,1.0892816835062498e-06,0.01186124871161141,-2.439207441582163e-18,
yoga,4,1985,4.45,"j""o.g@",4,2,{yoga},"{j""o.g@}",1,NN,691.67,0.94,,yoga,4.45,Y OW G AH,4,0,0.0,0.0,0.0,-7.727273851858065e-19,
yoke,4,996,0.43,"j""ok",3,1,{yoke},"{j""ok}",1,NN|VB,706.5,0.81,,yoke,0.43,Y OW K,4,4,0.5,3.430391268600668e-07,0.012840982881920614,-9.231149834755889e-18,
yolk,4,324,0.41,"j""ok",3,1,{yolk},"{j""ok}",1,NN,751.58,0.89,,yolk,0.41,Y OW K,4,1,0.0,0.0,0.010740850189401682,-1.141562062422408e-18,
Yonkers,7,323,0.94,"jANk@`z,6,2,NULL,NULL,NULL,NN,726.61,0.68,,yonkers
yore,4,383,0.25,jOr",3,1,{yore},"{j""Or}",1,NN|minor,755.56,0.28,,yore,0.25,Y OW R,4,8,0.75,3.5384652096478963e-06,0.014530639335780799,-4.83933344958764e-17,
zeal,4,700,0.61,"z""il",3,1,{zeal},"{z""il}",1,NN,707.13,0.91,,zeal,0.61,Z IY L,4,7,1.0,0.0,0.012789147065721323,-3.689295936481573e-17,
when,4,944467,2034.1,"hw""En",4,1,{when},"{hw""En}",1,minor,610.48,0.88,,when,2034.1,HH W EH N,4,2,0.0,2.9494050745520364e-06,0.010414558209038992,2.149742415549267e-19,
whet,4,128,0.16,"hw""Et",4,1,{whet},"{hw""Et}",1,VB,905.6,0.3,,whet,0.16,HH W EH T,4,3,0.3333333333333333,8.639585199857683e-06,0.011806377861750449,-4.418006421712912e-19,
whim,4,1623,2.33,"hw""Im",4,1,{whim},"{hw""Im}",1,NN,699.38,0.71,,whim,2.33,HH W IH M,4,5,0.6,8.82068617352902e-06,0.011933657945206129,-6.438931983029356e-18,
whip,4,4961,13.16,"hw""Ip",4,1,{whip},"{hw""Ip}",1,NN|VB,608.48,0.97,,whip,13.16,HH W IH P,4,6,0.4666666666666667,1.4374866485819439e-05,0.012182078032370987,-2.1596171921767925e-19,
whir,4,59,0.1,"hw""3`",3,1,{whir},"{hw""3`}",1,NN,709.83,0.55,,whir,0.1,W AH R,4,5,0.6,8.243490756502987e-06,0.01209070042375865,-1.868700112630626e-18,
whiz,4,865,3.9,"hw""Iz",4,1,{whiz},"{hw""Iz}",1,NN,671.67,0.94,,whiz,3.9,HH W IH Z,4,4,1.0,0.0,0.011783664553051429,-4.270315219726148e-18,
wick,4,559,2.51,"w""Ik",3,1,{wick},"{w""Ik}",1,NN,629.94,0.94,,wick,2.51,W IH K,4,9,0.7777777777777778,4.122118920080245e-06,0.012984346031676369,-6.590330292613037e-17,
wide,4,63297,23.8,"w""aId",3,1,{wide},"{w""aId}",1,JJ|RB|NN,561.12,0.97,,wide,23.8,W AY D,4,14,0.3956043956043956,1.29733679422788e-05,0.013676277540955937,-1.3025772940788442e-16,
wife,4,38746,348.92,"w""aIf",3,1,{wife},"{w""aIf}",1,NN,584.8,1,,wife,348.92,W AY F,4,7,0.7142857142857143,3.2024998495998243e-06,0.013623551678550117,-6.452096241379015e-17,
wild,4,23869,57.31,"w""aIld",4,1,{wild},"{w""aIld}",1,JJ|RB,576,1,,wild,57.31,W AY L D,4,8,0.25,2.718610354006553e-05,0.014200499616714372,-2.8546310525286923e-17,
wile,4,284,0.41,"w""aIl",3,1,{wile},"{w""aIl}",1,NN|VB,745.5,0.29,,wile,0.41,W AY L,4,16,0.3,5.3690176399655926e-05,0.01471919777637648,-1.173275775339141e-16,
will,4,1706009,2123.65,"w""Il",3,1,{will},"{w""Il}",1,VB|NN,607.26,1,,will,2123.65,W IH L,4,15,0.4095238095238095,3.5481789432041304e-05,0.014496250003177972,-7.950819611868645e-17,
wilt,4,1023,1.82,"w""Ilt",4,1,{wilt},"{w""Ilt}",1,VB,736.14,0.83,,wilt,1.82,W IH L T,4,11,0.38181818181818183,2.386824948332253e-05,0.014268866674971578,-2.290856436956013e-17,
wily,4,224,0.63,"w""aIl.i",4,2,{wile}>y>,"{w""aIl}.>i>",2,JJ|RB,839,0.5,,wily,0.63,W AY L IY,4,7,0.3333333333333333,2.6366986367398547e-05,0.013647836084394233,-1.9246869535780057e-17,
wind,4,23685,59.37,"w""Ind",4,1,{wind},"{w""Ind}",1,NN|VB,559.16,1,,wind,59.37,W IH N D,4,12,0.3181818181818182,2.3085098335800528e-05,0.014306638511389285,-3.700613235307123e-17,
wine,4,13077,60.35,"w""aIn",3,1,{wine},"{w""aIn}",1,NN,568.21,1,,wine,60.35,W AY N,4,20,0.3,4.737168542071702e-05,0.014592953068637546,-1.9425035798166361e-16,
wing,4,15248,20.24,"w""IN",3,1,{wing},"{w""IN}",1,NN|VB,677.61,0.97,,wing,20.24,W IH NG,4,8,0.42857142857142855,3.7423278605208185e-06,0.012933168992137103,-3.3271398414081885e-17,
wink,4,1494,3.53,"w""INk",4,1,{wink},"{w""INk}",1,NN|VB,635.25,0.94,,wink,3.53,W IH NG K,4,10,0.35555555555555557,9.543340758247186e-06,0.013438237899684362,-3.9052584907971984e-17,
wipe,4,4281,16.88,"w""aIp",3,1,{wipe},"{w""aIp}",1,VB,665.62,1,,wipe,16.88,W AY P,4,8,0.5714285714285714,5.563155437765803e-06,0.013633659670595339,-7.057906317502464e-17,
wire,4,16615,27.51,"w""aIr",3,1,{wire},"{w""aIr}",1,NN|VB,600.67,1,,wire,27.51,W AY R,4,13,0.32051282051282054,3.780818554821901e-05,0.014623146987130667,-1.1621093207823833e-16,
wiry,4,150,0.35,"w""aIr.i",4,2,{wire}>y>,"{w""aIr}.>i>",2,JJ,807.74,0.68,,wiry,0.35,W IH R IY,4,4,0.0,2.7988870224002403e-05,0.013336802514173608,-2.349590684936731e-17,
wise,4,13444,28.47,"w""aIz",3,1,{wise},"{w""aIz}",1,JJ|NN,650.97,1,,wise,28.47,W AY Z,4,10,0.37777777777777777,3.24875688010832e-05,0.013908149034232816,-8.192689707438221e-17,
wish,4,74280,235.12,"w""IS",3,1,{wish},"{w""IS}",1,VB|NN,707.09,1,,wish,235.12,W IH SH,4,6,0.13333333333333333,2.2043087940575834e-05,0.012662242629567529,-3.6012565047252644e-17,
wisp,4,1084,0.41,"w""Isp",4,1,{wisp},"{w""Isp}",1,NN,671.11,0.82,,wisp,0.41,W IH S P,4,4,0.16666666666666666,6.7942002766001074e-06,0.01257214457035331,-1.8832424684394298e-17,
with,4,3184846,5048.33,"w""IT",3,1,{with},"{w""IT}",1,minor|JJ,615.88,1,,with,5048.33,W IH TH,4,2,0.0,2.525442106559078e-06,0.010924760109410462,-6.092481908555729e-18,
wand,4,5420,3.08,"w""And",4,1,{wand},"{w""And}",1,NN,696.9,0.88,,wand,3.08,W AA N D,4,8,0.25,2.1790043230189766e-05,0.014660480695730331,-4.4392596359514613e-17,
wane,4,173,0.25,"w""en",3,1,{wane},"{w""en}",1,VB|NN,740.68,0.63,,wane,0.25,W EY N,4,13,0.2692307692307692,4.825186889384477e-05,0.014890961510557858,-1.7252669493005268e-16,
want,4,508123,2759.18,"w""Ant",4,1,{want},"{w""Ant}",1,VB|NN,596.21,1,,want,2759.18,W AO N T,4,9,0.19444444444444445,8.495747840197828e-05,0.014944247319476576,-4.332901024008254e-17,
ward,4,24382,14.25,"w""Ord",4,1,{ward},"{w""Ord}",1,NN|VB,669.09,0.94,,ward,14.25,W AO R D,4,13,0.32051282051282054,3.470584292570683e-05,0.014924826595214748,-7.312821024456252e-17,
ware,4,1931,2.2,"w""Er",3,1,{ware},"{w""Er}",1,NN,690.68,0.94,,ware,2.2,W AE R,4,20,0.2789473684210526,7.53574256457228e-05,0.015328200286977308,-2.963280275360327e-16,
warm,4,21018,52.14,"w""Orm",4,1,{warm},"{w""Orm}",1,JJ|VB,591.53,0.97,,warm,52.14,W AO R M,4,9,0.4444444444444444,1.018632663909876e-05,0.014134958849252614,-6.133721738260015e-17,
warn,4,4211,25.35,"w""Orn",4,1,{warn},"{w""Orn}",1,VB,608.58,0.97,,warn,25.35,W AO R N,4,10,0.4666666666666667,2.2083492682422307e-05,0.014333421610006551,-6.250039450912142e-17,
warp,4,50145,5.49,"w""Orp",4,1,{warp},"{w""Orp}",1,NN|VB,713.97,1,,warp,5.49,W AO R P,4,9,0.4444444444444444,2.423655122671588e-05,0.014337895212256863,-7.356107959895814e-17,
wart,4,224,1.24,"w""Ort",4,1,{wart},"{w""Ort}",1,NN,678.97,0.94,,wart,1.24,W AO R T,4,14,0.3076923076923077,0.00011464102785762071,0.015297574512178152,-8.643535905497353e-17,
wary,4,1884,0.75,"w""E.ri",4,2,{wary},"{w""E.ri}",1,JJ|NN,736.93,0.88,,wary,0.75,W AE R IY,4,11,0.3090909090909091,5.180133593963894e-05,0.014148018558691404,-5.389947875397021e-17,
wash,4,8590,40.73,"w""AS",3,1,{wash},"{w""AS}",1,NN|VB,662.65,0.94,,wash,40.73,W AO SH,4,10,0.6222222222222222,9.379425658786016e-06,0.012653523277804984,-2.2044880090838788e-16,
wasp,4,786,1.43,"w""Asp",4,1,{wasp},"{w""Asp}",1,NN,674.62,0.88,,wasp,1.43,W AA S P,4,6,0.2,1.4639812270013085e-05,0.01270777766530318,-4.3179109126180334e-17,
watt,4,3446,1.88,"w""At",3,1,{watt},"{w""At}",1,NN,703.1,0.85,,watt,1.88,W AA T,4,4,0.5,1.4559992762270088e-05,0.014076487286677186,-1.4555343197869482e-17,
wave,4,19212,21.25,"w""ev",3,1,{wave},"{w""ev}",1,NN|VB,616.64,0.97,,wave,21.25,W EY V,4,12,0.3787878787878788,1.1968869476300706e-05,0.013617494074424483,-1.6772012244164426e-16,
wavy,4,661,0.55,"w""ev.i",4,2,{wave}>y>,"{w""ev}.>i>",2,JJ,680.65,0.94,,wavy,0.55,W EY V IY,4,4,0.16666666666666666,6.560793602801573e-06,0.01234411292760204,-1.9993150350089455e-17,
waxy,4,135,0.39,"w""aks.i",5,2,{wax}>y>,"{w""aks}.>i>",2,JJ,631.06,0.97,,waxy,0.39,W AE K S IY,4,2,1.0,0.0,0.011887337627137015,-6.287716608350749e-18,
weak,4,17123,31.51,"w""ik",3,1,{weak},"{w""ik}",1,JJ|NN,603.1,0.94,,weak,31.51,W IY K,4,5,0.2,5.226153356708291e-06,0.012587646598183585,-4.2408220344332476e-18,
wean,4,748,0.25,"w""in",3,1,{wean},"{w""in}",1,VB,763.91,0.7,,wean,0.25,W IY N,4,6,0.4666666666666667,2.900875197623315e-06,0.012503706113247413,-1.4780973416122095e-17,
wear,4,31161,109.33,"w""Er",3,1,{wear},"{w""Er}",1,VB|NN,614.15,1,,wear,109.33,W AE R,4,14,0.6153846153846154,1.5248505032422937e-05,0.013102856891064175,-4.0348528793522484e-17,
weed,4,3010,11.76,"w""id",3,1,{weed},"{w""id}",1,NN|VB,583.94,0.94,,weed,11.76,W IY D,4,8,0.39285714285714285,1.900909808588513e-05,0.013069307613106968,5.4304169420454386e-18,
week,4,109477,238.51,"w""ik",3,1,{week},"{w""ik}",1,NN,608.48,0.97,,week,238.51,W IY K,4,7,0.3333333333333333,4.638313965402713e-06,0.012505407992397168,5.6379943519785095e-18,
weep,4,826,5.49,"w""ip",3,1,{weep},"{w""ip}",1,VB,593.3,0.97,,weep,5.49,W IY P,4,8,0.5714285714285714,4.672593955686247e-06,0.012312681924436073,1.0345520691499651e-17,
weir,4,472,0.92,"w""Ir",3,1,{weir},"{w""Ir}",1,NN,732.29,0.21,,weir,0.92,W AE R,4,3,0.0,7.921862575829949e-06,0.01179425321182824,-3.76711663434317e-18,
weld,4,1230,0.63,"w""Eld",4,1,{weld},"{w""Eld}",1,VB,689.92,0.76,,weld,0.63,W EH L D,4,5,0.1,2.1135936525251728e-05,0.013780895833229636,3.159852325286023e-18,
well,4,552532,2990.65,"w""El",3,1,{well},"{w""El}",1,RB|minor|JJ|NN|VB,638.53,0.97,,well,2990.65,W EH L,4,12,0.45454545454545453,2.1088459265034506e-05,0.014443834698969028,-1.407898068594684e-17,
welt,4,639,0.18,"w""Elt",4,1,{welt},"{w""Elt}",1,NN,837.56,0.82,,welt,0.18,W EH L T,4,8,0.25,2.2721261064908618e-05,0.014416637771872272,1.3170174303681644e-17,
west,4,62838,60.55,"w""Est",4,1,{west},"{w""Est}",1,NN|JJ|RB,582.74,0.97,,west,60.55,W EH S T,4,10,0.8,6.1010560401360535e-06,0.01392712331668061,1.0167764622835218e-16,
what,4,1325779,9842.45,"hw""Vt",4,1,{what},"{hw""Vt}",1,minor,611.74,0.97,,what,9842.45,HH W AA T,4,4,0.3333333333333333,1.384674770387878e-05,0.01253441098501255,-2.6909438844330705e-18,
veto,4,3044,0.9,"v""i.4o",4,2,{veto},"{v""i.4o}",1,NN|VB,822.87,0.91,,veto,0.9,V IY T OW,4,0,0.0,0.0,0.0,3.064355242595412e-20,
vice,4,15887,18.63,"v""aIs",3,1,{vice},"{v""aIs}",1,NN,673.66,0.97,,vice,18.63,V AY S,4,8,0.4642857142857143,5.257247174449287e-06,0.012832015715103631,-5.591803137956582e-17,
view,4,75014,38.53,"vj""u",3,1,{view},"{vj""u}",1,NN|VB,522.78,0.94,,view,38.53,V Y UW,4,0,0.0,0.0,0.0,1.1145333738319709e-18,
vile,4,2724,4.43,"v""aIl",3,1,{vile},"{v""aIl}",1,JJ|NN,685.19,0.91,,vile,4.43,V AY L,4,11,0.45454545454545453,2.0947990055336292e-05,0.01359532887246848,-9.527615781305116e-17,
vine,4,1241,2.1,"v""aIn",3,1,{vine},"{v""aIn}",1,NN,687.81,0.91,,vine,2.1,V AY N,4,14,0.5054945054945055,1.9767507496954924e-05,0.013920792806082119,-1.498632222798702e-16,
visa,4,19037,4.24,"v""i.z@",4,2,{visa},"{v""i.z@}",1,NN,597.23,0.94,,visa,4.24,V IY Z AH,4,4,0.16666666666666666,7.68636441916553e-06,0.01161092285102262,-1.3192115468326917e-17,
vise,4,4635,0.39,"v""aIs",3,1,{vise},"{v""aIs}",1,NN,688.17,0.71,,vise,0.39,V AY S,4,9,0.3055555555555556,1.8025684171793808e-05,0.013069307613106968,-5.581743114071955e-17,
viva,4,1351,3.12,"v""aI.v@",4,2,{viva},"{v""aI.v@}",1,NN,755.11,0.55,,viva,3.12,V IY V AH,4,5,0.2,3.7336950426925836e-06,0.01113798430356916,-1.0675040117667173e-17,
void,4,22817,4.1,"v""OId",3,1,{void},"{v""OId}",1,NN|VB,553.52,1,,void,4.1,V OY D,4,0,0.0,0.0,0.0,-1.1363565185347787e-18,
volt,4,4629,0.18,"v""olt",4,1,{volt},"{v""olt}",1,NN,645,0.88,,volt,0.18,V OW L T,4,3,1.0,0.0,0.012911359263651206,-6.611387976932827e-18,
vote,4,58103,34.33,"v""ot",3,1,{vote},"{v""ot}",1,NN|VB,593.25,1,,vote,34.33,V OW T,4,3,1.0,0.0,0.011497588852476785,3.834286441950842e-18,
wade,4,5232,16.47,"w""ed",3,1,{wade},"{w""ed}",1,VB|NN,648.94,0.94,,wade,16.47,W EY D,4,8,0.39285714285714285,8.22722677859235e-06,0.013473710591016569,-1.0721252798575632e-16,
wage,4,10055,3.12,"w""edZ",3,1,{wage},"{w""edZ}",1,NN|VB,647.77,0.97,,wage,3.12,W EY JH,4,9,0.4444444444444444,2.7035794155867336e-06,0.01350937105133686,-1.3455741721755322e-16,
wail,4,436,0.86,"w""el",3,1,{wail},"{w""el}",1,NN|VB,695.71,0.94,,wail,0.86,W EY L,4,12,0.6818181818181818,4.5380208139353405e-05,0.013653920719295883,5.244079735537497e-17,
wait,4,61759,830.25,"w""et",3,1,{wait},"{w""et}",1,VB|NN,573.63,0.94,,wait,830.25,W EY T,4,8,0.17857142857142858,0.00020616338764836942,0.014667501998745528,-1.19566094749917e-17,
wake,4,12064,105.22,"w""ek",3,1,{wake},"{w""ek}",1,NN|VB,588.03,1,,wake,105.22,W EY K,4,13,0.48717948717948717,6.139561247493165e-06,0.01383693260845512,-2.3705305970699045e-16,
walk,4,33093,215.86,"w""Ok",3,1,{walk},"{w""Ok}",1,NN|VB,580.58,0.97,,walk,215.86,W AO K,4,3,0.3333333333333333,9.283551779323402e-07,0.01324833922424542,-1.078632775232004e-17,
wall,4,91869,70.69,"w""Ol",3,1,{wall},"{w""Ol}",1,NN|VB,613.45,1,,wall,70.69,W AO L,4,12,0.4393939393939394,2.7624383464490784e-05,0.014604551346390398,-1.2035818897926753e-17,
urea,4,239,0.04,"jU.r""i@",5,2,{urea},"{jU.r""i@}",1,NN,726.93,0.47,,urea,0.04,Y UH R IY AH,4,1,0.0,0.0,5.6341202321257534e-05,2.5848310849276594e-18,
user,4,118645,1.55,"j""uz.@`",4,2,{use}>er>,"{j""uz}.>@`>",2,NN|JJ,642.55,0.91,,user,1.55,Y UW Z AH R,4,0,0.0,0.0,0.0,4.379910936240284e-21,
vain,4,2677,6.51,"v""en",3,1,{vain},"{v""en}",1,JJ|RB,588.44,1,,vain,6.51,V EY N,4,5,0.6,5.9840221901054954e-06,0.010892380855974153,3.817496529421181e-18,
vamp,4,693,0.92,"v""amp",4,1,{vamp},"{v""amp}",1,NN,719.27,0.71,,vamp,0.92,V AE M P,4,5,1.0,0.0,0.011613858237914549,-3.534847698673677e-19,
vary,4,11991,0.92,"v""E.ri",4,2,{vary},"{v""E.ri}",1,VB,630.5,0.88,,vary,0.92,V EH R IY,4,3,0.3333333333333333,7.066258578232827e-06,0.01183984955156469,-4.213495468785877e-18,
vase,4,540,3.84,"v""es",3,1,{vase},"{v""es}",1,NN,699.45,1,,vase,3.84,V EY S,4,6,0.26666666666666666,1.4673415283252226e-05,0.013666106279955672,-5.226487011185181e-17,
vast,4,13766,6.1,"v""ast",4,1,{vast},"{v""ast}",1,JJ,629.76,1,,vast,6.1,V AE S T,4,9,0.4444444444444444,2.454805972579433e-05,0.01422908975068019,-5.634841705753998e-17,
veal,4,903,3.55,"v""il",3,1,{veal},"{v""il}",1,NN,781.27,0.88,,veal,3.55,V IY L,4,8,0.75,1.74922295910888e-05,0.012839188446079092,-3.313353214193666e-17,
veer,4,189,1.08,"v""Ir",3,1,{veer},"{v""Ir}",1,VB,710.14,0.85,,veer,1.08,V IH R,4,6,1.0,0.0,0.011941413116732778,9.99597807501251e-18,
veil,4,1868,2.96,"v""el",3,1,{veil},"{v""el}",1,NN|VB,647.07,0.91,,veil,2.96,V EY L,4,2,0.0,1.0238612090299001e-05,0.011040282686871183,-5.387365575018776e-18,
vein,4,2169,3.59,"v""en",3,1,{vein},"{v""en}",1,NN,654.81,0.97,,vein,3.59,V EY N,4,3,0.0,6.9188918097781685e-06,0.010302448140854674,-8.517636345003638e-19,
vent,4,2058,4.41,"v""Ent",4,1,{vent},"{v""Ent}",1,NN|VB,675.19,0.82,,vent,4.41,V EH N T,4,6,0.6666666666666666,1.071996031906243e-06,0.01357724730606502,2.1843892723142116e-17,
verb,4,2101,1.06,"v""3`b",3,1,{verb},"{v""3`b}",1,NN,631.18,0.97,,verb,1.06,V AH R B,4,2,0.0,2.1500956680924e-06,0.010759718060679468,1.6715149807227504e-18,
very,4,587578,1241.25,"v""E.ri",4,2,{very},"{v""E.ri}",1,RB|JJ,633.71,0.97,,very,1241.25,V EH R IY,4,2,0.0,1.10345572346503e-06,0.010572754029935788,-1.521238975455228e-18,
vest,4,1238,5.57,"v""Est",4,1,{vest},"{v""Est}",1,NN,685.03,0.94,,vest,5.57,V EH S T,4,11,0.6545454545454545,1.3048576784711658e-05,0.013895528209337869,1.0055676114708641e-16,
upon,4,78218,62.73,"@.p""An",4,2,{upon},"{@.p""An}",1,minor|NN,710.06,1,,upon,62.73,AH P AO N,4,0,0.0,0.0,0.0,-4.237733168608411e-20,
undo,4,2398,4.37,"Vn.d""u",4,2,<un<{do},"<Vn<.{d""u}",2,VB,613.48,0.94,,undo,4.37,AH N D UW,4,1,0.0,0.0,0.00010141416417826357,2.397745930917346e-20,
unit,4,42634,36.18,"j""u.nIt",5,2,{un--it},"{j""u.n--It}",2,NN,621.47,0.94,,unit,36.18,Y UW N IH T,4,1,0.0,0.0,0.006630384103351518,1.1876151853481887e-18,
turf,4,1128,4.27,"t""3`f",3,1,{turf},"{t""3`f}",1,NN|VB,721.34,0.83,,turf,4.27,T AH R F,4,2,0.0,6.71608793945699e-07,0.010747132123071936,-2.615855119831081e-18,
turn,4,89685,306.47,"t""3`n",3,1,{turn},"{t""3`n}",1,VB|NN,585.3,0.97,,turn,306.47,T AH R N,4,2,0.0,3.138010419299911e-06,0.011487525946504375,-4.09712088071914e-19,
tusk,4,218,0.25,"t""Vsk",4,1,{tusk},"{t""Vsk}",1,NN,727.46,0.85,,tusk,0.25,T AH S K,4,3,0.0,1.8861347204145032e-06,0.011908908946227087,-8.791243232310518e-18,
twig,4,240,1.35,"tw""Ig",4,1,{twig},"{tw""Ig}",1,NN|VB,648.52,0.91,,twig,1.35,T W IH G,4,2,0.0,5.850634814765101e-07,0.008859052407688939,-1.8217783878703887e-18,
twin,4,7940,10.43,"tw""In",4,1,{twin},"{tw""In}",1,JJ|NN|VB,606.03,0.94,,twin,10.43,T W IH N,4,2,0.0,6.299445201980598e-06,0.009901630835234614,-5.539364787998894e-20,
type,4,157464,60.65,"t""aIp",3,1,{type},"{t""aIp}",1,NN|VB,563.79,1,,type,60.65,T AY P,4,1,0.0,0.0,0.011098965030217683,-5.182725333364089e-18,
trap,4,9424,23.84,"tr""ap",4,1,{trap},"{tr""ap}",1,NN|VB,593.72,0.94,,trap,23.84,T R AE P,4,4,0.16666666666666666,1.0307685172810492e-05,0.010456041028808694,1.1692025658702747e-18,
tray,4,3382,8.04,"tr""e",3,1,{tray},"{tr""e}",1,NN,687,0.97,,tray,8.04,T R EY,4,5,0.6,4.436058541791718e-06,0.01036170435549137,9.003841689690485e-20,
tree,4,27218,65.0,"tr""i",3,1,{tree},"{tr""i}",1,NN,586.7,0.97,,tree,65.0,T R IY,4,3,0.0,1.619634968689745e-05,0.007456962301772745,-4.0780685543249385e-18,
trek,4,30117,4.49,"tr""Ek",4,1,{trek},"{tr""Ek}",1,NN|VB,849,0.84,,trek,4.49,T R EH K,4,1,0.0,0.0,0.006757169413851732,1.5893761065804394e-18,
