Item,Frequency,Pronunciation
activism,0.18,AE K T AH V IH Z AH M
activity,12.88,AE K T IH V AH T IY
actor,26.33,AE K T AH R
actress,16.02,AE K T R IH S
actual,17.33,AE K CH UW AH L
actuality,0.47,AE K CH UW AE L IH T IY
actually,322.33,AE K CH UW AH L IY
actuarial,0.18,AE K CH UW EH R IY AH L
actuate,0.02,AE K CH UW EY T
acumen,0.14,AH K Y UW M AH N
acute,2.94,AH K Y UW T
acutely,0.27,AH K Y UW T L IY
ad,13.61,AE D
adage,0.63,AE D IH JH
adagio,0.24,AH D AA JH IY OW
adamant,0.98,AE D AH M AH N T
adamantly,0.04,AE D AH M AH N T L IY
adapt,2.63,AH D AE P T
adaptable,0.33,AH D AE P T AH B AH L
adaptation,1.59,AE D AE P T EY SH IH N
adapter,0.22,AH D AE P T AH R
adapting,0.53,AH D AE P T IH NG
add,33.06,AE D
addict,5.35,AE D IH K T
addiction,3.9,AH D IH K SH IH N
adding,4.02,AE D IH NG
addition,7.75,AH D IH SH IH N
additional,5.88,AH D IH SH IH N AH L
additive,0.22,AE D IH T IH V
address,52.27,AE D R EH S
addressee,0.12,AE D R EH S IY
adduce,0.02,AH D UW S
adept,0.65,AH D EH P T
adequacy,0.02,AE D AH K W AH S IY
adequate,2.59,AE D IH K W IH T
adequately,0.53,AE D AH K W IH T L IY
adhere,0.57,AE D HH IH R
adherence,0.18,AE D HH IH R AH N S
adherent,0.06,AE D HH IH R AH N T
adhesion,0.12,AE D HH IY ZH IH N
adhesive,0.92,AE D HH IY S IH V
adjacent,1.33,AH JH EY S AH N T
adjective,0.49,AE JH IH K T IH V
adjourn,1.29,AH JH AH R N
adjournment,0.22,AH JH AH R N M AH N T
adjudge,0.02,AH JH AH JH
adjudicate,0.1,AH JH UW D IH K EY T
adjudication,0.18,AH JH UW D IH K EY SH IH N
adjunct,0.14,AE JH AH NG K T
adjust,5.63,AH JH AH S T
adjustable,0.31,AH JH AH S T AH B AH L
adjustment,3.1,AH JH AH S T M AH N T
administer,1.67,AH D M IH N IH S T AH R
administration,7.59,AE D M IH N IH S T R EY SH AH N
administrative,1.61,AH D M IH N IH S T R EY T IH V
administrator,1.65,AH D M IH N IH S T R EY T AH R
admirable,2.61,AE D M AH R AH B AH L
admirably,0.41,AE D M AH R AH B L IY
admiral,16.57,AE D M AH R AH L
admiralty,0.67,AE D M AH R AH L T IY
admiration,2.1,AE D M AH R EY SH IH N
admire,14.16,AH D M AY R
admirer,2.96,AE D M AY R AH R
admissible,0.73,AH D M IH S AH B AH L
admission,3.55,AH D M IH SH IH N
admit,59.2,AH D M IH T
admittance,0.67,AH D M IH T AH N S
admonish,0.08,AE D M AA N IH SH
admonition,0.1,AE D M AH N IH SH IH N
ado,1.51,AH D UW
adobe,0.47,AH D OW B IY
adolescence,0.86,AE D AH L EH S AH N S
adolescent,1.84,AE D AH L EH S AH N T
adopt,4.67,AH D AA P T
adoption,4.69,AH D AA P SH AH N
adorable,10.53,AH D OW R AH B AH L
adore,7.73,AH D OW R
adorn,0.16,AH D AO R N
adrenal,0.31,AH D R IY N AH L
adroit,0.12,AH D R OY T
adroitness,0.02,AH D R OY T N EH S
adulation,0.27,AE JH IH L EY SH IH N
adult,14.29,AH D AH L T
adulterate,0.02,AH D AH L T AH R EY T
adulterer,0.39,AH D AH L T AH R AH R
adulterous,0.33,AH D AH L T AH R AH S
adultery,1.94,AH D AH L T AH R IY
adulthood,0.73,AH D AH L T HH UH D
advance,15.98,AE D V AE N S
advanced,8.84,AE D V AE N S T
advancement,1.24,AE D V AE N S M AH N T
advantage,22.06,AE D V AE N T IH JH
advantageous,0.39,AE D V AE N T EY JH IH S
advent,0.47,AE D V EH N T
adventure,13.43,AH D V EH N CH AH R
adventurer,0.73,AH D V EH N CH AH R AH R
adventurous,1.22,AE D V EH N CH AH R AH S
adverb,0.2,AE D V AH R B
adverbial,0.06,AE D V AH R B IY AH L
adversary,1.51,AE D V AH R S EH R IY
adverse,0.71,AE D V AH R S
adversity,1.06,AE D V AH R S IH T IY
advertise,1.65,AE D V AH R T AY Z
advertisement,1.2,AE D V AH R T AY Z M AH N T
advertiser,0.16,AE D V AH R T AY Z AH R
advertising,7.43,AE D V AH R T AY Z IH NG
advice,47.98,AH D V AY S
advisable,0.78,AH D V AY Z AH B AH L
advise,12.2,AH D V AY Z
advisement,0.76,AH D V AY Z M AH N T
adviser,1.04,AE D V AY Z AH R
advisory,1,AH D V AY Z AH R IY
advocacy,0.29,AE D V AH K AH S IY
advocate,2.22,AE D V AH K EY T
aegis,0.1,IY JH IH S
aeon,0.49,IY AH N
aerate,0.02,EH R EY T
aeration,0.02,AE R EY SH IH N
aerial,2.53,AE R IY AH L
aerobic,0.18,EH R OW B IH K
aerodynamic,0.43,EH R OW D AY N AE M IH K
aeronautical,0.24,EH R AH N AA T AH K AH L
aeronautics,0.18,AE R AH N AO T IH K S
aerosol,0.27,AE R IH S AO L
aerospace,1.08,AE R OW S P EY S
aesthete,0.12,EH S TH IY T
aesthetic,0.67,EH S TH EH T IH K
afar,1.16,AH F AA R
affable,0.12,AE F AH B AH L
affair,29.45,AH F AE R
affect,11.14,AH F EH K T
affectation,0.14,AE F EH K T EY SH IH N
affection,8.45,AH F EH K SH IH N
affectionate,2.25,AH F EH K SH AH N IH T
affidavit,1.96,AE F IH D EY V AH T
affiliate,0.29,AH F IH L IY EY T
affiliation,0.49,AH F IH L IY EY SH AH N
affinity,0.57,AH F IH N IH T IY
affirm,0.33,AH F AH R M
affirmation,0.53,AE F AH R M EY SH IH N
affirmative,4.73,AH F AH R M AH T IH V
affix,0.12,AH F IH K S
afflict,0.08,AH F L IH K T
affliction,1.18,AH F L IH K SH AH N
affluence,0.14,AE F L UW AH N S
affluent,0.29,AE F L UW AH N T
afford,44.43,AH F OW R D
affront,0.59,AH F R AH N T
afghan,0.57,AE F G AE N
aficionado,0.22,AH F IH SH IY AH N AA D OW
afire,0.49,AH F AY R
aflame,0.33,AH F L EY M
aforementioned,0.47,AH F OW R M EH N CH IH N D
aforesaid,0.08,AH F OW R S EH D
afraid,247.67,AH F R EY D
aft,3.53,AE F T
after,682.59,AE F T AH R
aftermath,1.04,AE F T AH R M AE TH
afternoon,91.49,AE F T AH R N UW N
again,792.71,AH G EH N
against,201.73,AH G EH N S T
agate,0.04,AE G AH T
age,79.2,EY JH
ageless,0.29,EY JH L AH S
agency,19.43,EY JH IH N S IY
agenda,7.31,AH JH EH N D AH
agent,102.65,EY JH IH N T
agglutinate,0.02,AH G L UW T AH N EY T
agglutinin,0.02,AH G L UW T AH N IH N
aggravate,0.73,AE G R AH V EY T
aggregate,0.2,AE G R IH G IH T
aggregation,0.04,AE G R IH G EY SH IH N
aggression,2.8,AH G R EH SH IH N
aggressive,7.94,AH G R EH S IH V
aggressiveness,0.39,AH G R EH S IH V N AH S
aggressor,0.57,AH G R EH S AH R
aghast,0.14,AH G AE S T
agile,0.39,AE JH AH L
agility,0.45,AH JH IH L IH T IY
agitate,0.43,AE JH IH T EY T
agitation,0.49,AE JH IH T EY SH IH N
agitator,0.22,AE JH IH T EY T AH R
agnostic,0.37,AE G N AA S T IH K
agonize,0.1,AE G IH N AY Z
agonizing,0.71,AE G AH N AY Z IH NG
agony,3.75,AE G IH N IY
agrarian,0.16,AH G R EH R IY AH N
agree,64.67,AH G R IY
agreeable,1.59,AH G R IY AH B AH L
agreement,17.49,AH G R IY M AH N T
agricultural,0.94,AE G R IH K AH L CH AH R AH L
agriculture,1.1,AE G R IH K AH L CH AH R
ague,0.04,EY G Y UW
ahead,198.33,AH HH EH D
aid,13.9,EY D
aide,2.02,EY D
ail,0.22,EY L
aileron,0.02,EY L AH R AA N
ailment,0.51,EY L M AH N T
aim,14.86,EY M
aimless,0.27,EY M L IH S
air,139.02,AE R
airborne,4.22,AE R B OW R N
aircraft,9.45,AE R K R AE F T
airdrop,0.04,EH R D R AA P
airfield,2.31,AE R F IY L D
airflow,0.14,AE R F L OW
airless,0.1,AE R L IH S
airlift,0.27,AE R L IH F T
airline,6.49,AE R L AY N
airlock,0.82,EH R L AO K
airmail,0.33,AE R M EY L
airman,0.59,EH R M AH N
airplane,10.92,AE R P L EY N
airport,38.04,AE R P OW R T
airspeed,0.47,AE R S P IY D
airstrip,1.12,AE R S T R IH P
airway,1.63,EH R W EY
airy,0.31,AE R IY
aisle,7.43,AY L
akin,0.27,AH K IH N
al,104.04,AE L
alabaster,0.67,AE L IH B AE S T AH R
alarm,29.84,AH L AA R M
alarmist,0.33,AH L AA R M IH S T
albeit,0.75,AE L B IY AH T
album,10.24,AE L B AH M
albumin,0.08,AE L B Y UW M AH N
alchemy,0.22,AE L K AH M IY
alcohol,16.57,AE L K AH HH AO L
alcoholic,6.2,AE L K AH HH AO L IH K
alcoholism,0.84,AE L K AH HH AO L IH Z AH M
alcove,0.47,AE L K OW V
alderman,0.8,AO L D AH R M AH N
ale,3.96,EY L
alert,20.61,AH L AH R T
alertness,0.08,AH L AH R T N EH S
alfresco,0.14,AE L F R EH S K OW
algebra,1.76,AE L JH IH B R AH
algebraic,0.06,AE L JH IH B R EY IH K
algorithm,0.53,AE L G AH R IH DH AH M
alias,4.08,EY L IY AH S
alibi,8.35,AE L IH B AY
alien,17.43,EY L IY AH N
alienate,0.57,EY L Y AH N EY T
alienation,0.43,EY L IY AH N EY SH IH N
alight,0.41,AH L AY T
align,0.67,AH L AY N
alignment,1.31,AH L AY N M AH N T
alike,11.35,AH L AY K
alimony,2.59,AE L AH M OW N IY
alive,154.47,AH L AY V
alkali,0.35,AE L K AH L AY
alkaline,0.31,AE L K AH L AY N
alkaloid,0.16,AE L K AH L OY D
all,5161.86,AO L
allay,0.33,AH L EY
allegation,0.53,AE L IH G EY SH IH N
allege,0.22,AH L EH JH
allegedly,2.22,AH L EH JH IH D L IY
allegiance,3.12,AH L IY JH IH N S
allegorical,0.16,AE L AH G AO R IH K AH L
allegory,0.24,AE L AH G OW R IY
allegro,0.51,AH L EH G R OW
allergic,8.1,AH L AH R JH IH K
allergy,1.69,AE L AH R JH IY
alleviate,0.45,AH L IY V IY EY T
alley,16.29,AE L IY
alleyway,0.78,AE L IY W EY
alliance,9.12,AH L AY IH N S
alligator,3.49,AE L AH G EY T AH R
alliteration,0.18,AH L IH T AH R EY SH IH N
alliterative,0.02,AH L IH T AH R EY T IH V
allocate,0.16,AE L AH K EY T
allocation,0.2,AE L AH K EY SH IH N
allot,0.16,AH L AA T
allotment,0.37,AH L AA T M AH N T
allow,44.37,AH L AW
allowable,0.1,AH L AW AH B AH L
allowance,5.2,AH L AW AH N S
alloy,1.02,AE L OY
allude,0.2,AH L UW D
allure,0.59,AH L UH R
allusion,0.12,AH L UW ZH AH N
ally,32.67,AE L AY
alma,5.76,AA L M AH
almanac,0.84,AO L M AH N AE K
almighty,8.75,AO L M AY T IY
almond,1.1,AA M AH N D
almost,193.27,AO L M OW S T
aloe,0.29,AE L OW
alone,308.53,AH L OW N
aloneness,0.02,AH L OW N N EH S
along,182.94,AH L AO NG
alongside,3.76,AH L AO NG S AY D
aloof,0.65,AH L UW F
alphabet,2.49,AE L F AH B EH T
alphabetical,0.86,AE L F AH B EH T IH K AH L
alphabetize,0.1,AE L F AH B AH T AY Z
already,318.55,AO L R EH D IY
also,206.43,AO L S OW
altar,5.08,AO L T AH R
alter,4.78,AO L T AH R
alteration,0.71,AO L T AH R EY SH IH N
altercation,0.73,AO L T AH R K EY SH IH N
alternate,3.53,AO L T AH R EY T
alternation,0.04,AO L T AH R N EY SH IH N
alternative,9.33,AO L T AH R N IH T IH V
although,42.02,AO L DH OW
altitude,3.88,AE L T IH T UW D
alto,1.35,AE L T OW
altogether,6.41,AO L T IH G EH DH AH R
altruism,0.22,AE L T R UW IH Z AH M
alum,0.14,AE L AH M
aluminum,2.25,AH L UW M IH N AH M
alumna,0.02,AH L AH M N AH
alumnus,0.47,AH L AH M N IH S
alveolar,0.08,AE L V IY AH L AH R
alveolus,0.02,AE L V IY AH L AH S
always,655.25,AO L W AH Z
amalgamation,0.12,AH M AE L G AH M EY SH AH N
amanuensis,0.04,AH M AE N Y UH EH N S IH S
amass,0.06,AH M AE S
amassing,0.16,AH M AE S IH NG
amateur,6.55,AE M AH CH AH R
amateurish,0.37,AE M AH CH AH R IH SH
amaze,1.61,AH M EY Z
amazement,0.71,AH M EY Z M AH N T
amazing,81.71,AH M EY Z IH NG
amazingly,1.78,AH M EY Z IH NG L IY
amazon,2.9,AE M AH Z AA N
ambassador,13.51,AE M B AE S AH D AH R
amber,9.27,AE M B AH R
ambiance,0.16,AE M B IY AH N S
ambidextrous,0.24,AE M B IH D EH K S T R IH S
ambiguity,0.27,AE M B AH G Y UW IH T IY
ambiguous,0.73,AE M B IH G Y UW AH S
ambition,5.35,AE M B IH SH IH N
ambitious,4.76,AE M B IH SH IH S
ambivalence,0.24,AE M B IH V AH L AH N S
ambivalent,0.24,AE M B IH V AH L AH N T
amble,0.1,AE M B AH L
ambrosial,0.02,AE M B R OW ZH AH L
ambulance,22.41,AE M B Y UH L AH N S
ambulatory,0.24,AE M B Y UH L IH T OW R IY
ambush,5.43,AE M B UH SH
amen,25.98,EY M EH N
amenable,0.18,AH M EH N AH B AH L
amend,0.75,AH M EH N D
amendment,4.1,AH M EH N D M AH N T
amiable,0.59,EY M IY AH B AH L
amicable,0.25,AE M IH K AH B AH L
amicus,0.02,AH M IY K AH S
amid,0.88,AH M IH D
amidst,0.69,AH M IH D S T
amigo,5.08,AH M IY G OW
amino,0.61,AH M IY N OW
amiss,0.75,AH M IH S
amity,0.53,AE M AH T IY
ammo,5.37,AE M OW
ammoniac,0.02,AH M OW N IY AE K
ammonium,0.51,AH M OW N IY AH M
ammunition,5.88,AE M Y UW N IH SH IH N
among,33.9,AH M AH NG
amongst,7.14,AH M AH NG S T
amoral,0.2,EY M AO R AH L
amorality,0.04,EY M AH R AE L IH T IY
amorous,0.92,AE M AH R AH S
amorphous,0.14,AH M AO R F AH S
amortization,0.14,AE M AH R T AH Z EY SH IH N
amortize,0.08,AE M AH R T AY Z
amount,24.75,AH M AW N T
amp,1.82,AE M P
amphetamine,0.29,AE M F EH T AH M IY N
amphibious,0.59,AE M F IH B IY AH S
amphitheater,0.1,AE M F AH TH IY AH T AH R
ample,1.82,AE M P AH L
amplification,0.16,AE M P L AH F AH K EY SH IH N
amplifier,0.31,AE M P L AH F AY AH R
amplify,0.37,AE M P L AH F AY
amplitude,0.12,AE M P L IH T UW D
amply,0.35,AE M P L IY
amputate,0.86,AE M P Y UW T EY T
amulet,2.31,AE M Y UH L AH T
amuse,2.61,AH M Y UW Z
amusement,3.75,AH M Y UW Z M AH N T
amusing,9.2,AH M Y UW Z IH NG
amusingly,0.08,AH M Y UW Z IH NG L IY
an,1864.14,AE N
anachronism,0.1,AH N AE K R AH N IH Z AH M
anaconda,0.47,AE N AH K AA N D AH
anaerobic,0.08,AE N AH R OW B IH K
anaesthesia,0.29,AE N IH S TH IY ZH AH
anagram,0.51,AE N AH G R AE M
analeptic,0.02,AE N AH L EH P T IH K
analogous,0.08,AH N AE L AH G IH S
analogue,0.1,AE N AH L AO G
analogy,1.14,AH N AE L AH JH IY
analysis,11.04,AH N AE L IH S IH S
analyst,3.47,AE N AH L AH S T
analytic,0.08,AE N AH L IH T IH K
analytical,0.59,AE N AH L IH T IH K AH L
analyzable,0.02,AE N AH L AY Z AH B AH L
analyze,3.24,AE N AH L AY Z
analyzer,0.51,AE N AH L AY Z AH R
anarchic,0.04,AE N AA R K IH K
anarchist,0.57,AE N AH R K IH S T
anarchy,2.02,AE N AH R K IY
anastomosis,0.33,AH N AE S T AH M OW S IH S
anatomic,0.08,AE N IH T AA M IH K
anatomical,0.31,AE N AH T AA M IH K AH L
anatomy,3.2,AH N AE T AH M IY
ancestor,1.69,AE N S EH S T AH R
ancestral,0.57,AE N S EH S T R AH L
ancestry,0.47,AE N S EH S T R IY
anchor,7.41,AE NG K AH R
anchorage,0.71,AE NG K AH R IH JH
anchovy,0.14,AE N CH OW V IY
ancient,21.67,EY N SH IH N T
ancillary,0.22,AE N S AH L EH R IY
and,13387.84,AE N D
anecdotal,0.37,AE N IH K D OW T AH L
anecdote,1.08,AE N IH K D OW T
anemia,0.69,AH N IY M IY AH
anemic,0.63,AH N IY M IH K
anesthetic,1.33,AE N IH S TH EH T IH K
angel,78.27,EY N JH AH L
angelic,0.57,AE N JH EH L IH K
angelica,1.67,AE N JH EH L AH K AH
anger,19.43,AE NG G AH R
angle,14.92,AE NG G AH L
angriest,0.16,AE NG G R IY AH S T
angry,58.98,AE NG G R IY
anguish,2.16,AE NG G W IH SH
angular,0.14,AE NG G Y UH L AH R
aniline,0.12,AE N AH L AH N
animal,45.49,AE N IH M AH L
animate,0.06,AE N AH M EY T
animation,1.22,AE N AH M EY SH IH N
animosity,0.61,AE N AH M AA S IH T IY
anion,0.02,AE N AY AH N
anise,0.06,AE N IH S
ankle,8.02,AE NG K AH L
annal,0.02,AE N AH L
annex,0.84,AH N EH K S
annihilate,0.71,AH N AY AH L EY T
annihilation,0.8,AH N AY AH L EY SH AH N
anniversary,18.41,AE N AH V AH R S AH R IY
announce,9.76,AH N AW N S
announcement,10.29,AH N AW N S M AH N T
announcer,11.25,AH N AW N S AH R
annoy,2.51,AH N OY
annoyance,0.49,AH N OY AH N S
annoying,11.12,AH N OY IH NG
annual,7.2,AE N Y UW AH L
annum,0.1,AE N AH M
anode,0.16,AE N OW D
anomalous,0.33,AH N AA M AH L AH S
anomaly,1.24,AH N AA M AH L IY
anonymity,0.9,AE N IH N IH M AH T IY
anonymous,8.41,AH N AA N AH M AH S
anorexia,0.25,AE N AH R EH K S IY AH
another,509.22,AH N AH DH AH R
answer,176.2,AE N S AH R
answerable,0.18,AE N S AH R AH B AH L
ant,5.35,AE N T
antagonism,0.22,AE N T AE G IH N IH Z AH M
antagonist,0.25,AE N T AE G IH N IH S T
antagonistic,0.43,AE N T AE G AH N IH S T IH K
antagonize,0.53,AE N T AE G AH N AY Z
ante,2.18,AE N T IY
anteater,0.22,AE N T IY T AH R
antecedent,0.06,AE N T IH S IY D AH N T
antelope,0.98,AE N T AH L OW P
antenna,2.39,AE N T EH N AH
anterior,0.94,AE N T IH R IY AH R
anthem,1.88,AE N TH AH M
anthology,0.27,AE N TH AA L AH JH IY
anthropological,0.51,AE N TH R AH P AH L AA JH IH K AH L
anthropologist,1.04,AE N TH R AH P AA L AH JH IH S T
anthropology,1.31,AE N TH R AH P AA L AH JH IY
anti,0.51,AE N T AY
antibiotic,0.65,AE N T IH B AY AA T IH K
antibody,0.25,AE N T IH B AA D IY
antic,0.08,AE N T IH K
anticipate,2.53,AE N T IH S AH P EY T
anticipation,2.49,AE N T IH S AH P EY SH AH N
anticipatory,0.12,AE N T IH S AH P AH T OW R IY
antidote,4.33,AE N T IH D OW T
antigen,0.37,AE N T IH JH AH N
antipathy,0.08,AE N T IH P AH TH IY
antipodes,0.04,AE N T IH P AH D IY Z
antiquarian,0.04,AE N T IH K W EH R IY AH N
antiquated,0.55,AE N T IH K W EY T IH D
antique,6.06,AE N T IY K
antiquity,0.27,AE N T IH K W AH T IY
antiseptic,0.86,AE N T IH S EH P T IH K
antiserum,0.18,AE N T IH S IH R AH M
antisocial,0.8,AE N T IH S OW SH AH L
antithesis,0.31,AE N T IH TH IH S IH S
antithetical,0.04,AE N T AH TH EH T IH K AH L
anvil,0.63,AE N V AH L
anxiety,6.76,AE NG Z AY AH T IY
anxious,14.1,AE NG SH IH S
any,1099.37,EH N IY
anybody,226.92,EH N IY B AA D IY
anyone,255.25,EH N IY W AH N
anything,907.25,EH N IY TH IH NG
anywhere,88.25,EH N IY HH W AE R
aorta,1.53,EY AO R T AH
apartheid,0.37,AH P AA R T EY T
apartment,83.04,AH P AA R T M AH N T
apathetic,0.35,AE P AH TH EH T IH K
apathy,0.47,AE P AH TH IY
ape,9.67,EY P
aperture,0.27,AE P AH R CH AH R
apex,0.84,EY P EH K S
aplomb,0.16,AH P L AH M
apocalypse,2.47,AH P AA K AH L IH P S
apocalyptic,0.35,AH P AA K AH L IH P T IH K
apogee,0.08,AE P AH JH IY
apologetic,0.43,AH P AA L AH JH EH T IH K
apologist,0.02,AH P AA L AH JH IH S T
apologize,49.37,AH P AA L AH JH AY Z
apology,15.76,AH P AA L AH JH IY
apostate,0.06,AH P AA S T EY T
apostle,1.39,AH P AA S AH L
apothecary,0.39,AH P AA TH AH K EH R IY
apotheosis,0.08,AH P AA TH IY OW S IH S
appalling,1.94,AH P AO L IH NG
appallingly,0.06,AH P AO L IH NG L IY
apparatus,1.51,AE P AH R AE T IH S
apparel,0.69,AH P AE R AH L
apparent,4.22,AH P AE R AH N T
apparently,47.35,AH P AE R AH N T L IY
apparition,0.76,AE P AH R IH SH IH N
appeal,13,AH P IY L
appealing,3.18,AH P IY L IH NG
appear,23.37,AH P IH R
appearance,11.59,AH P IH R AH N S
appease,0.49,AH P IY Z
appeasement,0.2,AH P IY Z M AH N T
appellant,0.14,AH P EH L AH N T
