Word,Length,Freq_HAL,SUBTLWF,Pron,NPhon,NSyll,MorphSp,MorphPr,NMorph,POS,I_Mean_RT,I_Mean_Accuracy,X,Item
zipped,6,1485,0.53,z"Ipt,4,1,{zip}>ed>,{z"Ip}>t>,2,VB,668.29,0.94,,zipped
zipper,6,1245,2.82,z"Ip.@`,4,2,{zip}>er>,{z"Ip}.>@`>,2,NN|VB,716.52,1,,zipper
zippy,5,550,0.37,z"Ip.i,4,2,{zip}>y>,{z"Ip}.>i>,2,JJ|NN,674.66,0.88,,zippy
zodiac,6,1098,0.61,z"o.4i.ak,6,3,{zodiac},{z"o.4i.ak},1,NN,714.06,0.94,,zodiac
zodiacal,8,109,0.04,zo.d"aI@k.@l,8,3,{zodiac}>al>,{zo.d"aI@k$}.>@l>,2,JJ,1159.21,0.41,,zodiacal
zombie,6,4439,3.61,z"Am.bi,5,2,{zombie},{z"Am.bi},1,NN,706.28,0.94,,zombie
zombies,7,2588,2.25,z"Am.biz,6,2,{zombie}>s>,{z"Am.bi}>z>,2,NN,737.56,1,,zombies
zone,4,17300,20.12,z"on,3,1,{zone},{z"on},1,NN,577.73,1,,zone
zoned,5,186,0.35,z"ond,4,1,{zone}>ed>,{z"on}>d>,2,VB,736.3,0.91,,zoned
zones,5,3388,1.76,z"onz,4,1,{zone}>s>,{z"on}>z>,2,NN,605.23,1,,zones
zoning,6,819,1.2,z"on.IN,5,2,{zone}>ing>,{z"on}.>IN>,2,VB|NN,726.43,0.7,,zoning
zoo,3,4317,13.65,z"u,2,1,{zoo},{z"u},1,NN,572.56,0.97,,zoo
zoom,4,4920,3.55,z"um,3,1,{zoom},{z"um},1,VB|NN,549.76,1,,zoom
zooming,7,523,0.63,z"um.IN,5,2,{zoom}>ing>,{z"um}.>IN>,2,VB,709.69,0.88,,zooming
zooms,5,385,0.06,z"umz,4,1,{zoom}>s>,{z"um}>z>,2,VB,666.93,0.94,,zooms
zucchini,8,314,0.96,zu.k"i.ni,6,3,{zucchini},{zu.k"i.ni},1,NN,848.68,0.85,,zucchini
Zurich,6,1770,2.43,z"U.rIk,5,2,{zurich},{z"U.rIk},1,NN,763,0.64,,zurich
wizardry,8,709,0.39,w"I.z@`.dri,7,3,{wizard}>ry>,{w"I.z@`.d}>ri>,2,NN,805.64,0.71,,wizardry
wobble,6,552,0.59,w"A.bl=,4,2,{wobble},{w"A.bl=},1,VB|NN,748.4,0.88,,wobble
wobbled,7,96,0.04,w"A.bl=d,5,2,{wobble}>ed>,{w"A.bl=}>d>,2,VB,755.4,0.88,,wobbled
wobbling,8,165,0.22,w"A.bl=.IN,6,3,{wobble}>ing>,{w"A.bl=}.>IN>,2,VB|NN,809.33,0.82,,wobbling
wobbly,6,275,0.73,w"A.bl=.i,5,3,{wobble}>y>,{w"A.bl=}.>i>,2,JJ,823.54,0.77,,wobbly
woe,3,778,2.33,w"o,2,1,{woe},{w"o},1,NN,734.84,0.74,,woe
woebegone,9,9,0.02,w"o.bI.g%On,7,3,{woe}{be--gone},{w"o}.{bI-.-g%On},3,JJ,863.33,0.17,,woebegone
woeful,6,159,0.14,w"o.fl=,4,2,{woe}>ful>,{w"o}.>fl=>,2,JJ,821.48,0.7,,woeful
woke,4,3223,26.35,w"ok,3,1,{woke},{w"ok},1,VB,704.9,0.88,,woke
wolf,4,21576,20.27,w"Ulf,4,1,{wolf},{w"Ulf},1,NN|VB,581.5,0.94,,wolf
wolfhound,9,99,0.02,w"Ulf.h%aUnd,8,2,{wolf}{hound},{w"Ulf}.{h%aUnd},2,NN,807.82,0.88,,wolfhound
wolves,6,10871,5.92,w"Ulvz,5,1,{wolf}>s>,{w"Ulv$}>z>,2,NN,640.16,0.94,,wolves
woman,5,66489,434.63,w"U.m@n,5,2,{woman},{w"U.m@n},1,NN,545.7,1,,woman
womanhood,9,300,0.76,w"U.m@n.h%Ud,8,3,{woman}>hood>,{w"U.m@n}.>h%Ud>,2,NN,848.09,0.94,,womanhood
womanish,8,7,0.14,w"U.m@n.IS,7,3,{woman}>ish>,{w"U.m@n}.>IS>,2,JJ,857.45,0.97,,womanish
womanize,8,4,0.02,w"U.m@n.aIz,7,3,{woman}>ise>,{w"U.m@n}.>aIz>,2,VB,845.55,1,,womanize
womankind,9,46,0.18,w"U.m@n.k%aInd,9,3,{woman}{kind},{w"U.m@n}.{k%aInd},2,NN,900.56,1,,womankind
womanly,7,151,0.16,w"U.m@n.li,7,3,{woman}>ly>,{w"U.m@n}.>li>,2,JJ,707.68,1,,womanly
womb,4,2491,3.47,w"um,3,1,{womb},{w"um},1,NN,700.88,0.81,,womb
wombat,6,3172,0.29,w"Am.bat,6,2,{wombat},{w"Am.bat},1,NN,770.52,0.64,,wombat
women,5,111268,195.65,w"I.mIn,5,2,{women},{w"I.mIn},1,NN,653.88,1,,women
womenfolk,9,38,0.16,w"I.mIn.f%ok,8,3,{women}{folk},{w"I.mIn}.{f%ok},2,NN,762.13,0.91,,womenfolk
won,3,27563,759.39,w"Vn,3,1,{won},{w"Vn},1,VB,659.9,0.91,,won
wonder,6,51799,116.98,w"Vn.4@`,5,2,{wonder},{w"Vn.4@`},1,NN|VB,590.88,0.97,,wonder
wondered,8,9133,14.9,w"Vn.4@`d,6,2,{wonder}>ed>,{w"Vn.4@`}>d>,2,VB,639.88,1,,wondered
wonderful,9,31958,164,w"Vn.4@`.fl=,7,3,{wonder}>ful>,{w"Vn.4@`}.>fl=>,2,JJ,625.77,1,,wonderful
wondering,9,41742,63.35,w"Vn.4@`.IN,7,3,{wonder}>ing>,{w"Vn.4@`}.>IN>,2,VB|NN,740.37,0.91,,wondering
wonderland,10,965,1.82,w"Vn.4@`.l%and,9,3,{wonder}{land},{w"Vn.4@`}.{l%and},2,NN,815.29,0.94,,wonderland
wonders,7,4983,5.82,w"Vn.4@`z,6,2,{wonder}>s>,{w"Vn.4@`}>z>,2,NN|VB,612.03,0.97,,wonders
wondrous,8,573,1.63,w"Vn.dr@s,7,2,{wondr--ous},{w"Vn.dr--@s},2,JJ,842.08,0.77,,wondrous
wondrously,10,35,0.02,w"Vn.dr@s.li,9,3,{wondr--ous}>ly>,{w"Vn.dr--@s}.>li>,3,RB,846.28,0.81,,wondrously
wont,4,5408,1.59,w"Ont,4,1,{wont},{w"Ont},1,JJ|NN|VB,877.12,0.5,,wont
woo,3,1986,6.73,w"u,2,1,{woo},{w"u},1,VB|NN,746.73,0.67,,woo
wood,4,24035,27,w"Ud,3,1,{wood},{w"Ud},1,NN,595.42,0.94,,wood
woodbine,8,64,0.06,w"Ud.baIn,6,2,{woodbine},{w"Ud.baIn},1,NN,842.8,0.45,,woodbine
woodblock,9,20,0.02,w"Ud.bl%Ak,7,2,{wood}{block},{w"Ud}.{bl%Ak},2,NN,812.79,0.91,,woodblock
woodcarver,10,28,0.04,w"Ud.k%Arv.@`,8,3,{wood}{carve}>er>,{w"Ud}.{k%Arv}.>@`>,3,NN,820.72,0.94,,woodcarver
woodcock,8,511,0.08,w"Ud.k%Ak,6,2,{wood}{cock},{w"Ud}.{k%Ak},2,NN,871.96,0.81,,woodcock
woodcraft,9,92,0.02,w"Ud.kr%aft,8,2,{wood}{craft},{w"Ud}.{kr%aft},2,NN,661.68,0.94,,woodcraft
woodcutter,10,18,0.24,w"Ud.k%V4.@`,7,3,{wood}{cut}>er>,{w"Ud}.{k%V4}.>@`>,3,NN,777.81,0.97,,woodcutter
woodcutters,11,4,0.02,w"Ud.k%V4.@`z,8,3,{wood}{cut}>er>>s>,{w"Ud}.{k%V4}.>@`>>z>,4,NN,779.13,0.94,,woodcutters
wooded,6,462,0.33,w"U4.@d,5,2,{wood}>ed>,{w"U4}.>@d>,2,JJ,754.97,0.91,,wooded
wooden,6,8164,7.2,w"Ud.n=,4,2,{wood}>en>,{w"Ud}.>n=>,2,JJ,703.73,0.91,,wooden
woodland,8,926,1.12,w"Ud.l@nd,7,2,{wood}>land>,{w"Ud}.>l@nd>,2,JJ|NN,745.41,0.97,,woodland
woodman,7,138,0.35,w"Ud.m@n,6,2,{wood}>man>,{w"Ud}.>m@n>,2,NN,754.42,0.97,,woodman
woodpecker,10,368,0.98,w"Ud.p%Ek.@`,7,3,{wood}{peck}>er>,{w"Ud}.{p%Ek}.>@`>,3,NN,696.37,1,,woodpecker
woodpile,8,27,0.22,w"Ud.p%aIl,6,2,{wood}{pile},{w"Ud}.{p%aIl},2,NN,780.47,0.94,,woodpile
Woodrow,7,433,0.35,w"U.dro,5,2,{woo--drow},{w"U-.-dro},2,NN,736.26,0.74,,woodrow
woods,5,9313,29.06,w"Udz,4,1,{wood}>s>,{w"Ud}>z>,2,NN,573.88,0.97,,woods
woodshed,8,63,0.43,w"Ud.S%Ed,6,2,{wood}{shed},{w"Ud}.{S%Ed},2,NN,845.03,0.94,,woodshed
woodsman,8,93,0.45,w"Udz.m@n,7,2,{wood}>s>>man>,{w"Ud}>z>.>m@n>,3,NN,778.5,0.94,,woodsman
Woodward,8,1373,2.12,w"Ud.w@`d,6,2,{wood}>ward>,{w"Ud}.>w@`d>,2,NN,747.54,0.85,,woodward
woodwind,8,281,0.29,w"Ud.w%Ind,7,2,{wood}{wind},{w"Ud}.{w%Ind},2,NN,735,1,,woodwind
woodwork,8,464,0.84,w"Ud.w%3`k,6,2,{wood}{work},{w"Ud}.{w%3`k},2,NN|VB,761.91,1,,woodwork
woodworking,11,871,0.1,w"Ud.w%3`k.IN,8,3,{wood}{work}>ing>,{w"Ud}.{w%3`k}.>IN>,3,NN|VB,742.69,0.97,,woodworking
woodworm,8,15,0.02,w"Ud.w%3`m,6,2,{wood}{worm},{w"Ud}.{w%3`m},2,NN,938.88,0.86,,woodworm
woody,5,3061,8.49,w"U4.i,4,2,{wood}>y>,{w"U4}.>i>,2,JJ|NN,652.06,1,,woody
wooed,5,47,0.31,w"ud,3,1,{woo}>ed>,{w"u}>d>,2,VB,828.59,0.67,,wooed
woof,4,954,2.76,w"Uf,3,1,{woof},{w"Uf},1,NN|VB,720.39,0.85,,woof
wool,4,2066,3.16,w"Ul,3,1,{wool},{w"Ul},1,NN,657.94,0.97,,wool
woolen,6,110,0.57,w"Ul.@n,5,2,{wool}>en>,{w"Ul}.>@n>,2,JJ,676.46,0.85,,woolen
woollen,7,51,0.06,w"Ul.@n,5,2,{wool}>en>,{w"Ul}.>@n>,2,JJ,811.56,0.52,,woollen
woolly,6,448,0.47,w"Ul.i,4,2,{wool}>y>,{w"Ul}.>i>,2,JJ|NN,818.48,0.7,,woolly
woozy,5,71,0.84,w"u.zi,4,2,{woozy},{w"u.zi},1,JJ,666,0.79,,woozy
Worcester,9,1692,0.51,w"U.st@`,5,2,{wor--cester},{w"U-.-st@`},2,NN,795.96,0.72,,worcester
word,4,138155,235.55,w"3`d,3,1,{word},{w"3`d},1,NN,620.22,0.97,,word
worded,6,1046,0.27,w"3`4.@d,5,2,{word}>ed>,{w"3`4}.>@d>,2,VB,671.66,0.91,,worded
wording,7,3360,0.27,w"3`4.IN,5,2,{word}>ing>,{w"3`4}.>IN>,2,NN|VB,660.06,0.97,,wording
wordless,8,110,0.04,w"3`d.l@s,6,2,{word}>less>,{w"3`d}.>l@s>,2,JJ,694.18,1,,wordless
wordplay,8,119,0.18,w"3`d.pl%e,6,2,{word}{play},{w"3`d}.{pl%e},2,NN,743.53,0.94,,wordplay
words,5,99249,122.02,w"3`dz,4,1,{word}>s>,{w"3`d}>z>,2,NN,598.45,1,,words
wordy,5,267,0.16,w"3`4.i,4,2,{word}>y>,{w"3`4}.>i>,2,JJ,696.13,0.97,,wordy
wore,4,5574,21.2,w"Or,3,1,{wore},{w"Or},1,VB,760.09,0.7,,wore
work,4,451298,798.02,w"3`k,3,1,{work},{w"3`k},1,NN|VB,633.15,1,,work
workable,8,1678,0.33,w"3`k.@.bl=,6,3,{work}>able>,{w"3`k}.>@.bl=>,2,JJ,712.77,0.97,,workable
workbench,9,2804,0.2,w"3`k.b%EntS,7,2,{work}{bench},{w"3`k}.{b%EntS},2,NN,738.27,1,,workbench
workbook,8,558,0.12,w"3`k.b%Uk,6,2,{work}{book},{w"3`k}.{b%Uk},2,NN,711.79,1,,workbook
workday,7,137,0.25,w"3`k.d%e,5,2,{work}{day},{w"3`k}.{d%e},2,NN,660.56,0.97,,workday
worked,6,59752,115.24,w"3`kt,4,1,{work}>ed>,{w"3`k}>t>,2,VB,708.65,0.97,,worked
worker,6,7057,10.94,w"3`k.@`,4,2,{work}>er>,{w"3`k}.>@`>,2,NN,588.14,1,,worker
workers,7,18819,11.67,w"3`k.@`z,5,2,{work}>er>>s>,{w"3`k}.>@`>>z>,3,NN,628.09,1,,workers
workhorse,9,220,0.1,w"3`k.h%Ors,7,2,{work}{horse},{w"3`k}.{h%Ors},2,NN,662.66,0.94,,workhorse
workhouse,9,14,0.31,w"3`k.h%aUs,6,2,{work}{house},{w"3`k}.{h%aUs},2,NN,766.97,0.97,,workhouse
working,7,134669,250.49,w"3`k.IN,5,2,{work}>ing>,{w"3`k}.>IN>,2,VB|NN|JJ,531.82,1,,working
workingmen,10,24,0.04,w"3`k.IN.m%En,8,3,{work}>ing>-{men},{w"3`k}.>IN>.{m%En},3,NN,969.72,0.81,,workingmen
workings,8,1486,0.82,w"3`k.INz,6,2,{work}>ing>>s>,{w"3`k}.>IN>>z>,3,NN,598.22,0.97,,workings
workman,7,568,0.78,w"3`k.m@n,6,2,{work}>man>,{w"3`k}.>m@n>,2,NN,637.07,0.91,,workman
workmanship,11,395,0.55,w"3`k.m@n.S%Ip,9,3,{work}>man>>ship>,{w"3`k}.>m@n>.>S%Ip>,3,NN,785.03,0.97,,workmanship
workmen,7,96,0.98,w"3`k.m@n,6,2,{work}>men>,{w"3`k}.>m@n>,2,NN,708,0.97,,workmen
workout,7,2588,2.76,w"3`k.%aUt,5,2,{work}{out},{w"3`k}.{%aUt},2,NN,583.6,1,,workout
workouts,8,683,0.24,w"3`k.%aUts,6,2,{work}{out}>s>,{w"3`k}.{%aUt}>s>,3,NN,695.5,0.97,,workouts
workroom,8,32,0.22,w"3`k.r%um,6,2,{work}{room},{w"3`k}.{r%um},2,NN,748.13,0.91,,workroom
works,5,139173,105.04,w"3`ks,4,1,{work}>s>,{w"3`k}>s>,2,NN|VB,672.25,0.97,,works
worksheet,9,421,0.1,w"3`k.S%it,6,2,{work}{sheet},{w"3`k}.{S%it},2,NN,727.09,1,,worksheet
workshop,8,15377,2.8,w"3`k.S%Ap,6,2,{work}{shop},{w"3`k}.{S%Ap},2,NN,681.31,0.97,,workshop
workshops,9,5362,0.29,w"3`k.S%Aps,7,2,{work}{shop}>s>,{w"3`k}.{S%Ap}>s>,3,NN,722.66,1,,workshops
world,5,295523,455.22,w"3`ld,4,1,{world},{w"3`ld},1,NN,570.82,1,,world
worldly,7,1134,1.51,w"3`ld.li,6,2,{world}>ly>,{w"3`ld}.>li>,2,JJ,870.12,1,,worldly
worlds,6,11180,8.88,w"3`ldz,5,1,{world}>s>,{w"3`ld}>z>,2,NN,680.45,0.97,,worlds
worldwide,9,18597,3.16,w%3`ld.w"aId,7,2,{world}{wide},{w%3`ld}.{w"aId},2,JJ,646.75,0.94,,worldwide
worm,4,4110,10.12,w"3`m,3,1,{worm},{w"3`m},1,NN|VB,638.64,0.97,,worm
wormhole,8,2001,1.92,w"3`m.h%ol,6,2,{worm}{hole},{w"3`m}.{h%ol},2,NN,952.69,0.76,,wormhole
worms,5,5342,6.29,w"3`mz,4,1,{worm}>s>,{w"3`m}>z>,2,NN|VB,630.11,1,,worms
wormwood,8,1187,0.45,w"3`m.wUd,6,2,{worm--wood},{w"3`m-.-wUd},2,NN,755.5,0.73,,wormwood
wormy,5,58,0.22,w"3`m.i,4,2,{worm}>y>,{w"3`m}.>i>,2,JJ,705.42,0.76,,wormy
worn,4,8275,10.08,w"Orn,4,1,{wore}>n>,{w"Or}>n>,2,VB|JJ,575.67,1,,worn
worried,7,10980,94.73,w"3`.rid,5,2,{worry}>ed>,{w"3`.ri}>d>,2,VB|JJ,597.38,1,,worried
worriedly,9,52,0.02,w"3`.r@d.li,7,3,{worry}>ed>>ly>,{w"3`.r@$}>d>.>li>,3,RB,792.64,0.78,,worriedly
worries,7,2478,10.61,w"3`.riz,5,2,{worry}>s>,{w"3`.ri}>z>,2,NN|VB,613.09,0.97,,worries
worrisome,9,236,0.24,w"3`.rI.sm=,6,3,{worry}>some>,{w"3`.rI$}.>sm=>,2,JJ,935.62,0.84,,worrisome
worry,5,27060,287.02,w"3`.ri,4,2,{worry},{w"3`.ri},1,VB|NN,569.7,0.94,,worry
worrying,8,3092,16.22,w"3`.ri.IN,6,3,{worry}>ing>,{w"3`.ri}.>IN>,2,VB|NN|JJ,630.13,0.97,,worrying
worse,5,34812,98.08,w"3`s,3,1,{worse},{w"3`s},1,JJ|RB|NN,653.18,1,,worse
worsen,6,400,0.39,w"3`s.n=,4,2,{worse}>en>,{w"3`s}.>n=>,2,VB,791.38,0.68,,worsen
worsened,8,334,0.18,w"3`s.n=d,5,2,{worse}>en>>ed>,{w"3`s}.>n=>>d>,3,VB,823.63,0.82,,worsened
worsens,7,111,0.25,w"3`s.n=z,5,2,{worse}>en>>s>,{w"3`s}.>n=>>z>,3,VB,815.04,0.81,,worsens
worship,7,9668,8.02,w"3`.SIp,5,2,{worship},{w"3`.SIp},1,NN|VB,610.56,0.9,,worship
worshiped,9,331,0.43,w"@`S@pt,6,2,NULL,NULL,NULL,NULL,663.06,0.94,,worshiped
worshipful,10,82,0.1,w"3`.SIp.fl=,7,3,{worship}>ful>,{w"3`.SIp}.>fl=>,2,JJ,958.74,1,,worshipful
worshiping,10,508,0.06,w"3`.SIp.IN,7,3,{worship}>ing>,{w"3`.SIp}.>IN>,2,VB|NN|JJ,704.53,0.91,,worshiping
worshipped,10,959,1.92,w"3`.SIpt,6,2,{worship}>ed>,{w"3`.SIp}>t>,2,VB,760.84,0.97,,worshipped
worshippers,11,601,0.35,w"3`.SIp.@`z,7,3,{worship}>er>>s>,{w"3`.SIp}.>@`>>z>,3,NN,772.15,1,,worshippers
worshipping,11,952,0.76,w"3`.SIp.IN,7,3,{worship}>ing>,{w"3`.SIp}.>IN>,2,VB,757.44,0.94,,worshipping
worst,5,23946,56.35,w"3`st,4,1,{worst},{w"3`st},1,JJ|RB|NN|VB,701.67,0.97,,worst
worsted,7,37,0.14,w"3`st.@d,6,2,{worst}>ed>,{w"3`st}.>@d>,2,JJ|VB,819.73,0.35,,worsted
wort,4,1623,0.37,w"3`t,3,1,{wort},{w"3`t},1,NN,732.7,0.59,,wort
worth,5,81429,109.2,w"3`T,3,1,{worth},{w"3`T},1,JJ|NN|RB|minor,599,0.97,,worth
worthiest,9,4,0.06,w"3`D.i.Ist,7,3,{worth}>y>>est>,{w"3`D$}.>i>.>Ist>,3,JJ,862.73,0.91,,worthiest
worthless,9,5546,9.27,w"3`T.l@s,6,2,{worth}>less>,{w"3`T}.>l@s>,2,JJ,703.53,1,,worthless
worthlessness,13,132,0.04,w"3`T.l@s.n@s,9,3,{worth}>less>>ness>,{w"3`T}.>l@s>.>n@s>,3,NN,949.5,1,,worthlessness
worthwhile,10,5520,4.04,w%3`T.hw"aIl,7,2,{worth}{while},{w%3`T}.{hw"aIl},2,JJ,824.53,0.94,,worthwhile
worthy,6,6530,10.33,w"3`D.i,4,2,{worth}>y>,{w"3`D$}.>i>,2,JJ,669.31,1,,worthy
would,5,1278502,1767.88,w"Ud,3,1,{would},{w"Ud},1,VB,638.94,1,,would
wound,5,6139,26.53,w"aUnd,4,1,{wound},{w"aUnd},1,VB,575.94,1,,wound
wounded,7,3852,19.45,w"un4.@d,6,2,{wound}>ed>,{w"un4}.>@d>,2,VB|JJ,635.58,0.94,,wounded
wounding,8,313,0.35,w"un4.IN,6,2,{wound}>ing>,{w"un4}.>IN>,2,VB,759.19,0.97,,wounding
wounds,6,2743,14.06,w"undz,5,1,{wound}>s>,{w"und}>z>,2,NN|VB,629.12,1,,wounds
wove,4,116,0.24,w"ov,3,1,{wove},{w"ov},1,VB,881.82,0.65,,wove
woven,5,884,0.63,w"ov.n=,4,2,{wove}>en>,{w"ov}.>n=>,2,VB|JJ,712.3,0.94,,woven
wow,3,14332,160,w"aU,2,1,{wow},{w"aU},1,minor|NN|VB,741.36,1,,wow
wrack,5,43,0.1,r"ak,3,1,{wrack},{r"ak},1,NN|VB,769.83,0.56,,wrack
wraith,6,3289,0.2,r"eT,3,1,{wraith},{r"eT},1,NN,795.75,0.39,,wraith
wrangle,7,99,0.35,r"aN.gl=,5,2,{wrangle},{r"aN.gl=},1,NN|VB,791.78,0.84,,wrangle
wrangled,8,20,0.1,r"aN.gl=d,6,2,{wrangle}>ed>,{r"aN.gl=}>d>,2,VB,762.97,0.97,,wrangled
wrangler,8,788,0.2,r"aN.gl@`,6,2,{wrangle}>er>,{r"aN.gl}>@`>,2,NN,631.28,0.94,,wrangler
wrap,4,5973,17.8,r"ap,3,1,{wrap},{r"ap},1,VB|NN,555.79,1,,wrap
wrapped,7,6130,11.76,r"apt,4,1,{wrap}>ed>,{r"ap}>t>,2,VB,580.97,1,,wrapped
wrapper,7,1761,1.67,r"ap.@`,4,2,{wrap}>er>,{r"ap}.>@`>,2,NN,738,0.97,,wrapper
wrappers,8,814,0.57,r"ap.@`z,5,2,{wrap}>er>>s>,{r"ap}.>@`>>z>,3,NN,677.67,0.94,,wrappers
wrapping,8,1681,2.88,r"ap.IN,5,2,{wrap}>ing>,{r"ap}.>IN>,2,VB,682.82,1,,wrapping
wraps,5,1747,2.29,r"aps,4,1,{wrap}>s>,{r"ap}>s>,2,VB,610.63,1,,wraps
wrath,5,5643,3.9,r"aT,3,1,{wrath},{r"aT},1,NN,705.66,0.94,,wrath
wrathful,8,43,0.1,r"aT.fl=,5,2,{wrath}>ful>,{r"aT}.>fl=>,2,JJ,832.73,0.91,,wrathful
wreak,5,453,0.59,r"ik,3,1,{wreak},{r"ik},1,VB,670.08,0.76,,wreak
wreath,6,287,1.06,r"iT,3,1,{wreath},{r"iT},1,NN,677.45,0.97,,wreath
wreathed,8,33,0.02,r"iDd,4,1,{wreathe}>ed>,{r"iD}>d>,2,VB|JJ,805.57,0.88,,wreathed
wreaths,7,83,0.33,r"iTs,4,1,{wreath}>s>,{r"iT}>s>,2,NN,843.66,0.91,,wreaths
wreck,5,2161,13.67,r"Ek,3,1,{wreck},{r"Ek},1,NN|VB,625.13,0.94,,wreck
wreckage,8,452,2.08,r"Ek.IdZ,5,2,{wreck}>age>,{r"Ek}.>IdZ>,2,NN,788.82,0.94,,wreckage
wrecked,7,802,5.33,r"Ekt,4,1,{wreck}>ed>,{r"Ek}>t>,2,VB|JJ,700.47,1,,wrecked
wrecker,7,72,0.51,r"Ek.@`,4,2,{wreck}>er>,{r"Ek}.>@`>,2,NN,718.06,0.94,,wrecker
wrecking,8,406,2.14,r"Ek.IN,5,2,{wreck}>ing>,{r"Ek}.>IN>,2,VB|NN,743.82,1,,wrecking
wren,4,692,0.37,r"En,3,1,{wren},{r"En},1,NN,751.75,0.5,,wren
wrench,6,1389,3.96,r"EntS,4,1,{wrench},{r"EntS},1,VB|NN,637.44,0.97,,wrench
wrenched,8,168,0.31,r"EntSt,5,1,{wrench}>ed>,{r"EntS}>t>,2,VB,719.33,1,,wrenched
wrenches,8,341,0.29,r"EntS.@z,6,2,{wrench}>s>,{r"EntS}.>@z>,2,NN|VB,764.63,0.97,,wrenches
wrenching,9,240,0.2,r"EntS.IN,6,2,{wrench}>ing>,{r"EntS}.>IN>,2,JJ|VB,715.13,0.94,,wrenching
wrest,5,150,0.12,r"Est,4,1,{wrest},{r"Est},1,VB,682.63,0.56,,wrest
wrestle,7,952,3.45,r"E.sl=,4,2,{wrestle},{r"E.sl=},1,VB,731.34,1,,wrestle
wrestler,8,1141,1.78,r"Es.l@`,5,2,{wrestle}>er>,{r"Es.l}>@`>,2,NN,717.42,0.94,,wrestler
wrestles,8,90,0.06,r"E.sl=z,5,2,{wrestle}>s>,{r"E.sl=}>z>,2,VB,815.63,0.84,,wrestles
wrestling,9,5323,8.75,r"Es.lIN,6,2,{wrestle}>ing>,{r"Es.l}>IN>,2,VB|NN,630.19,0.97,,wrestling
wretch,6,153,1.63,r"EtS,3,1,{wretch},{r"EtS},1,NN,826.46,0.88,,wretch
wretched,8,3585,3.63,r"EtS.@d,5,2,{wretch}>ed>,{r"EtS}.>@d>,2,JJ,740.13,0.91,,wretched
wretchedness,12,45,0.04,r"EtS.@d.n@s,8,3,{wretch}>ed>>ness>,{r"EtS}.>@d>.>n@s>,3,NN,915.35,0.87,,wretchedness
wriggle,7,251,0.41,r"I.gl=,4,2,{wriggle},{r"I.gl=},1,NN|VB,762.58,0.73,,wriggle
wright,6,8275,4.06,r"aIt,3,1,{wright},{r"aIt},1,NN,821.27,0.84,,wright
Wrigley,7,383,0.37,r"I.gli,5,2,{wrig--ley},{r"I.g--li},2,NN,868.13,0.97,,wrigley
wring,5,266,1.22,r"IN,3,1,{wring},{r"IN},1,VB|NN,748.25,0.61,,wring
wringer,7,70,0.41,r"IN.@`,4,2,{wring}>er>,{r"IN}.>@`>,2,NN,815,0.63,,wringer
wrings,6,17,0.06,r"INz,4,1,{wring}>s>,{r"IN}>z>,2,VB|NN,862.56,0.47,,wrings
wrinkle,7,385,1.88,r"IN.kl=,5,2,{wrinkle},{r"IN.kl=},1,NN|VB,652.47,1,,wrinkle
wrinkled,8,560,1.69,r"IN.kl=d,6,2,{wrinkle}>ed>,{r"IN.kl=}>d>,2,JJ|VB,662.13,0.97,,wrinkled
